CTG,replicate,cell_type,treatment,dose,real_dose
0.001923274,6,A549,Nutlin,100,250
0.382654631,6,A549,Nutlin,50,125
0.666991486,6,A549,Nutlin,10,25
0.669761001,6,A549,Nutlin,5,12.5
0.835008719,6,A549,Nutlin,1,2.5
0.856087804,6,A549,Nutlin,0.5,1.25
0.894707149,6,A549,Nutlin,0.1,0.25
1.004872295,6,A549,Nutlin,0,0
0.341822021,4,A549,SAHA,100,1000
0.416211762,4,A549,SAHA,50,500
0.54629725,4,A549,SAHA,10,100
0.543593573,4,A549,SAHA,5,50
0.678313936,4,A549,SAHA,1,10
0.74111649,4,A549,SAHA,0.5,5
0.845710166,4,A549,SAHA,0.1,1
1.002368936,4,A549,SAHA,0,0
0.318106911,5,A549,SAHA,100,1000
0.38222268,5,A549,SAHA,50,500
0.485966629,5,A549,SAHA,10,100
0.587624884,5,A549,SAHA,5,50
0.657920486,5,A549,SAHA,1,10
0.694690493,5,A549,SAHA,0.5,5
0.776805026,5,A549,SAHA,0.1,1
0.994180657,5,A549,SAHA,0,0
0.318029663,6,A549,SAHA,100,1000
0.384540117,6,A549,SAHA,50,500
0.527680503,6,A549,SAHA,10,100
0.552322587,6,A549,SAHA,5,50
0.60964054,6,A549,SAHA,1,10
0.700870327,6,A549,SAHA,0.5,5
0.797352971,6,A549,SAHA,0.1,1
1.003450407,6,A549,SAHA,0,0
