well_oligo	plate_oligo	cell_type	replicate	time_point	drug_dose	Combo	catalog_number	vehicle	dose_pattern	dose_character	dose	treatment	CAS.Number	M.w.	name	SMILES
plate3_C6	plate17	MCF7	rep1	24	S0001_1	plate3_C6plate17	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate17	MCF7	rep1	24	S0001_2	plate3_C12plate17	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate18	MCF7	rep1	24	S0001_3	plate4_C6plate18	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate18	MCF7	rep1	24	S0001_4	plate4_C12plate18	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate19	MCF7	rep1	24	S0002_1	plate5_G5plate19	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate19	MCF7	rep1	24	S0002_2	plate5_G11plate19	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate20	MCF7	rep1	24	S0002_3	plate6_G5plate20	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate20	MCF7	rep1	24	S0002_4	plate6_G11plate20	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate21	MCF7	rep1	24	S0003_1	plate7_D6plate21	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate21	MCF7	rep1	24	S0003_2	plate7_D12plate21	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate22	MCF7	rep1	24	S0003_3	plate8_D6plate22	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate22	MCF7	rep1	24	S0003_4	plate8_D12plate22	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate23	MCF7	rep1	24	S0004_1	plate9_D4plate23	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate23	MCF7	rep1	24	S0004_2	plate9_D10plate23	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate24	MCF7	rep1	24	S0004_3	plate10_D4plate24	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate24	MCF7	rep1	24	S0004_4	plate10_D10plate24	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate25	K562	rep2	24	S0001_2	plate3_C6plate25	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate25	K562	rep2	24	S0001_3	plate3_C12plate25	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate26	K562	rep2	24	S0001_4	plate4_C6plate26	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate26	K562	rep2	24	S0001_1	plate4_C12plate26	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate27	K562	rep2	24	S0002_2	plate5_G5plate27	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate27	K562	rep2	24	S0002_3	plate5_G11plate27	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate28	K562	rep2	24	S0002_4	plate6_G5plate28	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate28	K562	rep2	24	S0002_1	plate6_G11plate28	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate29	K562	rep2	24	S0003_2	plate7_D6plate29	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate29	K562	rep2	24	S0003_3	plate7_D12plate29	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate30	K562	rep2	24	S0003_4	plate8_D6plate30	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate30	K562	rep2	24	S0003_1	plate8_D12plate30	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate31	K562	rep2	24	S0004_2	plate9_D4plate31	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate31	K562	rep2	24	S0004_3	plate9_D10plate31	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate32	K562	rep2	24	S0004_4	plate10_D4plate32	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate32	K562	rep2	24	S0004_1	plate10_D10plate32	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate33	A549	rep2	24	S0001_2	plate3_C6plate33	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate33	A549	rep2	24	S0001_3	plate3_C12plate33	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate34	A549	rep2	24	S0001_4	plate4_C6plate34	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate34	A549	rep2	24	S0001_1	plate4_C12plate34	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate35	A549	rep2	24	S0002_2	plate5_G5plate35	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate35	A549	rep2	24	S0002_3	plate5_G11plate35	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate36	A549	rep2	24	S0002_4	plate6_G5plate36	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate36	A549	rep2	24	S0002_1	plate6_G11plate36	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate37	A549	rep2	24	S0003_2	plate7_D6plate37	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate37	A549	rep2	24	S0003_3	plate7_D12plate37	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate38	A549	rep2	24	S0003_4	plate8_D6plate38	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate38	A549	rep2	24	S0003_1	plate8_D12plate38	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate39	A549	rep2	24	S0004_2	plate9_D4plate39	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate39	A549	rep2	24	S0004_3	plate9_D10plate39	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate40	A549	rep2	24	S0004_4	plate10_D4plate40	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate40	A549	rep2	24	S0004_1	plate10_D10plate40	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate3_C6	plate41	MCF7	rep2	24	S0001_2	plate3_C6plate41	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate3_C12	plate41	MCF7	rep2	24	S0001_3	plate3_C12plate41	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate4_C6	plate42	MCF7	rep2	24	S0001_4	plate4_C6plate42	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate4_C12	plate42	MCF7	rep2	24	S0001_1	plate4_C12plate42	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate5_G5	plate43	MCF7	rep2	24	S0002_2	plate5_G5plate43	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate5_G11	plate43	MCF7	rep2	24	S0002_3	plate5_G11plate43	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate6_G5	plate44	MCF7	rep2	24	S0002_4	plate6_G5plate44	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate6_G11	plate44	MCF7	rep2	24	S0002_1	plate6_G11plate44	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate7_D6	plate45	MCF7	rep2	24	S0003_2	plate7_D6plate45	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate7_D12	plate45	MCF7	rep2	24	S0003_3	plate7_D12plate45	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate8_D6	plate46	MCF7	rep2	24	S0003_4	plate8_D6plate46	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate8_D12	plate46	MCF7	rep2	24	S0003_1	plate8_D12plate46	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate9_D4	plate47	MCF7	rep2	24	S0004_2	plate9_D4plate47	S0000	TRUE	2	0	0	S0000	NA	NA	NA	NA
plate9_D10	plate47	MCF7	rep2	24	S0004_3	plate9_D10plate47	S0000	TRUE	3	0	0	S0000	NA	NA	NA	NA
plate10_D4	plate48	MCF7	rep2	24	S0004_4	plate10_D4plate48	S0000	TRUE	4	0	0	S0000	NA	NA	NA	NA
plate10_D10	plate48	MCF7	rep2	24	S0004_1	plate10_D10plate48	S0000	TRUE	1	0	0	S0000	NA	NA	NA	NA
plate8_A7	plate6	K562	rep1	24	S1001_4	plate8_A7plate6	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A7	plate14	A549	rep1	24	S1001_4	plate8_A7plate14	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A7	plate22	MCF7	rep1	24	S1001_4	plate8_A7plate22	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate30	K562	rep2	24	S1001_4	plate8_A1plate30	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate38	A549	rep2	24	S1001_4	plate8_A1plate38	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate46	MCF7	rep2	24	S1001_4	plate8_A1plate46	S1001	FALSE	4	10	10	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate6	K562	rep1	24	S1001_3	plate8_A1plate6	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate14	A549	rep1	24	S1001_3	plate8_A1plate14	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate8_A1	plate22	MCF7	rep1	24	S1001_3	plate8_A1plate22	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
plate7_A7	plate29	K562	rep2	24	S1001_3	plate7_A7plate29	S1001	FALSE	3	100	100	S1001	923564-51-6	974.61	Navitoclax (ABT-263)	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C
