S1134	BRD-K00615600
S1057	BRD-K15600710
S1012	BRD-K34581968
S2718	BRD-K00615600
S1289	BRD-K11630072
S1141	BRD-A61304759
S1141	BRD-K81473043
S1680	BRD-K32744045
S1422	BRD-K11558771
S4125	BRD-K67102207
S2770	BRD-K53665955
S1327	BRD-K30466858
S2673	BRD-K12343256
S1193	BRD-A93255169
S1573	BRD-K76617868
S1622	BRD-A62525898
S1622	BRD-K82624463
S1068	BRD-K78431006
S1021	BRD-K49328571
S1169	BRD-A41692738	
S1087	BRD-K11153516
S1776	BRD-K63460351
S1776	BRD-K67174588
S1378	BRD-K53972329
S1451	BRD-K53561341
S1124	BRD-K13049116
S2391	BRD-K97399794
S1735	BRD-M40783228
S1782	BRD-K03406345
S1168	BRD-K41260949
S1032	BRD-K99616396
S2867	BRD-K52850071
S1147	BRD-K63923597
S2554	BRD-K61269089
S2003	BRD-A04352665
S1672	BRD-A25234499
S1180	BRD-K12762134
S1156	BRD-K61192372
S4246	BRD-A43974575
S4246	BRD-K47029922
S4246	BRD-K88809146
S1154	BRD-K71512533
S1085 	BRD-K17743125
S2804 	BRD-A23747351
S1033	BRD-K81528515
S1142 	BRD-A06304526
S1142 	BRD-K83988098
S1692 	BRD-K23204545
S1103 	BRD-K72703948
S1848	BRD-K69690935
S1848	BRD-K07572174
S1848	BRD-K74148702
S1004	BRD-A50364343
S1004	BRD-K87142802
S8323	BRD-K17476933
S1845 	BRD-K18618618
S1845	BRD-K34157611
S1048 	BRD-K59369769
S1048	BRD-K87947369
S1628	BRD-A92439610
S1095	BRD-K56957086
S3147	BRD-K83636919
S3147	BRD-K92977333
S1463	BRD-A24228527
S1002	BRD-K56301217
S2012	BRD-K88742110
S2170	BRD-K13810148
S1261	BRD-K02637541
S1001	BRD-K82746043
S1305	BRD-K91601245
S1249	BRD-K11636097
S1393	BRD-K83794624
S1107	BRD-K07881437
S1312	BRD-K34411947
S1312	BRD-A12832192
S1312	BRD-A25576662
S1392	BRD-K08799216
S1192	BRD-K89839824
S2627	BRD-K00627859
S1055	BRD-K79404599
S1044	BRD-A62025033
S1297	BRD-K71823332
S1278	BRD-K67043667
S2818 	BRD-K52313696
S1010	BRD-K49075727
S1140	BRD-K82164249
S2902	BRD-K53972329
S1045	BRD-A19037878
S1045	BRD-K68202742
S1030	BRD-K02130563
S1028	BRD-K19687926
S1028	BRD-M07438658
S1003 	BRD-K99749624
S1029	BRD-A17883755
S1029 	BRD-K05926469
S1200	BRD-K79254416
S2666	BRD-K68997413
S1280	BRD-A60197193
S7582	BRD-K66989831
S7207	BRD-K49448285
S7207	BRD-K31342827
S1802	BRD-A95696820
S1802	BRD-A81585303
S5001	BRD-K31283835
S1396	BRD-K80738081
S1396	BRD-K25591257
S1775	BRD-K09631521
S1017	BRD-K86930074
S1053	BRD-K77908580
S1443	BRD-A56359832
S1122 	BRD-K16485616
S1040 	BRD-K23984367
S1040	BRD-K49810818
S1014	BRD-K99964838
S1181	BRD-K68488863
S1098	BRD-K88560311
S1153	BRD-K07691486
S1191	BRD-A17828570
S1191	BRD-A83237092
S1191	BRD-A90490067
S1069	BRD-K41859756
